Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
014350,Nanosystems Molecular Machinery Manfactur,Drexler K Eric,New Delhi,John Wiley,2010,,English,MECHANICAL ENGINEERING
014352,Engineering Physics,Avadhanulu M N,New Delhi,S Chand,2008,,English,PHYSICS
014414,Solid State Physics,Pillai S O,New Delhi,New Age,2010,6.0,English,PHYSICS
014419,Elements of Civil Engineering and Engineering,Jagadeesh T R,Bangalore,Sapna Books,2010,6.0,English,MECHANICAL ENGINEERING
014579,Introduction to Parallel Computing,Grama Ananth,New Delhi,Pearson,2011,2.0,English,COMPUTER SCIENCE
014584,Text Book of Elements Of Mechanical Enginee,rTrymbakamurthy S,New Delhi,I K Internationa,2010,3.0,English,MECHANICAL ENGINEERING
014634,Elements of Workshop Technology Vol I Manu,Choudhry S K Hajra,Mumbai,Media Promot,e2010,14.0,English,MECHANICAL ENGINEERING
014775,Textbook of Environmental Engg,Rao Venugopal P,New Delhi,PHI Learning,2009,,English,GENERAL
014924,Quantitative Aptitude,Aggarwal R S,New Delhi,S Chand,1999,,English,GENERAL
014934,Cracking the IT Interview,Balasubramanium M,New Delhi,TMG,2010,,English,GENERAL
014974,Networks and Systems,Choudhury D Ray,New Delhi,New Age,2010,2.0,English,ELECTRONICS & COMMUNICAT
015049,Entrepreneurship Development Small Busines,sCharantimath Poornima,New Delhi,Pearson Educa,t2009,,English,MECHANICAL ENGINEERING
015079,Antennas and Wave Propogation,Lathi P. B.,New York,Oxford Univers,2010,4.0,English,ELECTRONICS & COMMUNICAT
015131,Optical Fiber Communication,Senior John M.,New Delhi,Pearson Educa,t2009,3.0,English,ELECTRONICS & COMMUNICAT
015141,Fiber Optic Communication,Palais Joseph C.,New Delhi,Pearson Educa,t2009,5.0,English,ELECTRONICS & COMMUNICAT
015210,Basic Electrical Engineering,Anand Murthy R.S,Bangalore,Sanguine Publi,c2006,,English,ELECTRONICS & COMMUNICAT
